date,code,close,name,industry,hs300_close,year_month,cpi_yoy,m2_yoy,return,hs300_return
2020-04-08,000002,4186.32,万科A,房地产,3780.345,2020-04,4.3,10.1,-0.0034279837742102748,-0.00465400270298677
2020-04-09,000002,4150.97,万科A,房地产,3792.811,2020-04,4.3,10.1,-0.008444170536413664,0.003297582628040585
2020-04-10,000002,4175.84,万科A,房地产,3769.178,2020-04,4.3,10.1,0.005991370691669662,-0.0062309985918096444
2020-04-13,000002,4196.79,万科A,房地产,3753.257,2020-04,4.3,10.1,0.005016954672592666,-0.00422399791148087
2020-04-14,000002,4237.37,万科A,房地产,3825.699,2020-04,4.3,10.1,0.009669294865837896,0.019301103015327836
2020-04-15,000002,4152.28,万科A,房地产,3797.362,2020-04,4.3,10.1,-0.020080852037938635,-0.007407012417861458
2020-04-16,000002,4136.57,万科A,房地产,3802.381,2020-04,4.3,10.1,-0.0037834635429210284,0.0013217070166078315
2020-04-17,000002,4154.9,万科A,房地产,3839.487,2020-04,4.3,10.1,0.004431207497999523,0.009758622294820052
2020-04-20,000002,4136.57,万科A,房地产,3853.455,2020-04,4.3,10.1,-0.004411658523670869,0.0036379860121937835
2020-04-21,000002,4063.26,万科A,房地产,3808.047,2020-04,4.3,10.1,-0.017722412530187914,-0.011783710981443929
2020-04-22,000002,4077.66,万科A,房地产,3839.383,2020-04,4.3,10.1,0.003543952392906169,0.008228890032081937
2020-04-23,000002,4060.64,万科A,房地产,3829.753,2020-04,4.3,10.1,-0.00417396251771851,-0.0025082155127528205
2020-04-24,000002,4018.75,万科A,房地产,3796.972,2020-04,4.3,10.1,-0.010316107805666053,-0.008559559846287756
2020-04-27,000002,4044.93,万科A,房地产,3822.769,2020-04,4.3,10.1,0.0065144634525660106,0.006794098033906959
2020-04-28,000002,4111.7,万科A,房地产,3849.147,2020-04,4.3,10.1,0.0165070841769821,0.006900233835735348
2020-04-29,000002,4173.22,万科A,房地产,3867.032,2020-04,4.3,10.1,0.014962181092978755,0.004646484013211216
2020-04-30,000002,4165.37,万科A,房地产,3912.577,2020-04,4.3,10.1,-0.0018810414979321122,0.011777766514474264
2020-05-06,000002,4094.68,万科A,房地产,3936.254,2020-05,3.3,11.1,-0.016970881338272514,0.006051510296155138
2020-05-07,000002,4056.71,万科A,房地产,3924.895,2020-05,3.3,11.1,-0.009273007902937391,-0.002885738572764862
2020-05-08,000002,4094.68,万科A,房地产,3963.622,2020-05,3.3,11.1,0.009359801415432578,0.009867015550734548
2020-05-11,000002,4114.32,万科A,房地产,3960.18,2020-05,3.3,11.1,0.004796467611632549,-0.000868397642358465
2020-05-12,000002,4051.48,万科A,房地产,3960.238,2020-05,3.3,11.1,-0.015273483832079049,1.4645798928292209e-05
2020-05-13,000002,4051.48,万科A,房地产,3968.253,2020-05,3.3,11.1,0.0,0.0020238682624631466
2020-05-14,000002,3993.88,万科A,房地产,3925.218,2020-05,3.3,11.1,-0.014217026864256965,-0.010844822646136842
2020-05-15,000002,3993.88,万科A,房地产,3912.816,2020-05,3.3,11.1,0.0,-0.0031595697359994013
2020-05-18,000002,4088.13,万科A,房地产,3922.912,2020-05,3.3,11.1,0.023598605866976374,0.002580238886776165
2020-05-19,000002,4077.66,万科A,房地产,3956.25,2020-05,3.3,11.1,-0.002561073155697202,0.008498278829604189
