股票,行业,α,α-p值,β,β-95%CI下限,β-95%CI上限,R²
万科A,房地产,-0.0007588053298736791,0.05711962622410924,0.6905263291944781,0.6260932465756602,0.754959411813296,0.30643717514410507
中兴通讯,通讯,-9.96237825274175e-05,0.8784922759985786,1.1579950465214786,1.0526334038863026,1.2633566891566546,0.31747773195278717
五粮液,白酒,8.78715084625396e-05,0.8387516101470491,1.248804086762681,1.1789854787847849,1.3186226947405773,0.5517142277282291
顺丰控股,物流,0.0002693984708913586,0.6096369676196788,0.869278030338007,0.7838189497275081,0.9547371109485059,0.28552499374143847
比亚迪,汽车,0.0014965389589002786,0.03390137922007543,1.2807300375458348,1.166788752727746,1.3946713223639235,0.3270675281159262
招商银行,银行,0.0002306051890269164,0.5114839161755318,0.8196418794453533,0.7628559952124268,0.8764277636782798,0.4448939121781187
上汽集团,汽车,-0.00016611019498295417,0.5487145425759755,0.505938669255202,0.46115659645126156,0.5507207420591425,0.32931877488918304
贵州茅台,白酒,0.0002195101767905026,0.5537201755446928,0.9618069859038586,0.901879792073011,1.0217341797347061,0.497721002270726
工商银行,银行,0.00011336793428950271,0.5283104845752481,0.1642262442153109,0.13516100859122268,0.19329147983939912,0.10938110527028078
中国石油,能源,0.00046664970655633094,0.17086917329428983,0.3478891797322381,0.29281806413201944,0.40296029533245675,0.1330835335201569
